frame,xmin,xmax,ymin,ymax,class_id
0007_00000251.jpg,136,182,12,65,7
0007_00000059.jpg,158,263,66,119,7
0007_00000223.jpg,133,186,41,103,7
0007_00000080.jpg,199,289,68,120,7
0007_00000119.jpg,100,166,37,101,7
0007_00000281.jpg,137,176,36,81,7
0007_00000017.jpg,172,275,79,139,7
0007_00000134.jpg,112,180,40,113,7
0007_00000141.jpg,116,184,32,105,7
0007_00000198.jpg,123,175,72,133,7
0007_00000225.jpg,139,191,36,97,7
0007_00000233.jpg,136,186,48,107,7
0007_00000114.jpg,85,159,29,91,7
0007_00000102.jpg,76,150,10,72,7
0007_00000183.jpg,101,170,56,129,7
0007_00000254.jpg,137,183,8,61,7
0007_00000295.jpg,143,180,52,95,7
0007_00000087.jpg,203,293,80,132,7
0007_00000051.jpg,143,249,73,125,7
0007_00000096.jpg,84,158,8,69,7
0007_00000019.jpg,166,269,79,139,7
0007_00000238.jpg,135,180,57,111,7
0007_00000111.jpg,80,154,18,80,7
0007_00000329.jpg,208,279,89,178,7
0007_00000139.jpg,113,182,33,107,7
0007_00000180.jpg,100,168,56,129,7
0007_00000301.jpg,141,179,57,100,7
0007_00000014.jpg,188,279,77,139,7
0007_00000007.jpg,204,291,79,137,7
0007_00000326.jpg,199,262,112,171,7
0007_00000316.jpg,135,172,64,107,7
0007_00000317.jpg,135,172,61,104,7
0007_00000158.jpg,131,199,24,97,7
0007_00000046.jpg,139,237,72,124,7
0007_00000026.jpg,141,245,88,143,7
0007_00000065.jpg,170,275,64,116,7
0007_00000062.jpg,164,270,66,119,7
0007_00000050.jpg,141,247,72,124,7
0007_00000252.jpg,137,183,12,65,7
0007_00000163.jpg,117,186,20,93,7
0007_00000261.jpg,139,184,2,56,7
0007_00000310.jpg,141,179,66,109,7
0007_00000220.jpg,133,186,42,104,7
0007_00000202.jpg,124,179,66,132,7
0007_00000298.jpg,141,179,54,97,7
0007_00000056.jpg,151,257,70,123,7
0007_00000116.jpg,88,158,37,96,7
0007_00000211.jpg,131,183,64,125,7
0007_00000237.jpg,133,179,56,109,7
0007_00000204.jpg,121,174,72,133,7
0007_00000271.jpg,143,186,10,61,7
0007_00000311.jpg,140,178,68,111,7
0007_00000209.jpg,129,182,68,129,7
0007_00000045.jpg,139,237,72,124,7
0007_00000068.jpg,171,277,62,115,7
0007_00000201.jpg,124,179,65,131,7
0007_00000302.jpg,141,179,60,103,7
0007_00000110.jpg,76,150,17,79,7
0007_00000296.jpg,140,178,53,96,7
0007_00000023.jpg,152,255,84,139,7
0007_00000055.jpg,150,255,70,123,7
0007_00000063.jpg,166,271,65,117,7
0007_00000011.jpg,198,285,80,139,7
0007_00000006.jpg,200,287,77,136,7
0007_00000090.jpg,92,166,5,66,7
0007_00000118.jpg,93,163,36,103,7
0007_00000053.jpg,145,251,73,125,7
0007_00000315.jpg,135,172,62,105,7
0007_00000284.jpg,140,176,42,85,7
0007_00000197.jpg,120,172,72,133,7
0007_00000285.jpg,140,176,40,83,7
0007_00000030.jpg,133,237,89,144,7
0007_00000157.jpg,127,195,25,99,7
0007_00000125.jpg,112,178,42,112,7
0007_00000186.jpg,104,172,56,129,7
0007_00000278.jpg,140,179,32,77,7
0007_00000210.jpg,129,182,68,129,7
0007_00000136.jpg,111,179,37,111,7
0007_00000313.jpg,137,175,64,107,7
0007_00000300.jpg,141,179,56,99,7
0007_00000242.jpg,139,184,41,95,7
0007_00000325.jpg,211,274,123,182,7
0007_00000093.jpg,88,162,12,73,7
0007_00000219.jpg,136,188,42,104,7
0007_00000289.jpg,144,179,46,88,7
0007_00000105.jpg,77,151,13,75,7
0007_00000221.jpg,135,187,41,103,7
0007_00000189.jpg,103,171,58,132,7
0007_00000286.jpg,143,179,40,83,7
0007_00000234.jpg,136,183,49,105,7
