image_path,xmin,xmax,ymin,ymax,class_id
dataset\0001고핀\0001_00000116.jpg,145,214,61,154,1
dataset\0001고핀\0001_00000133.jpg,199,261,87,174,1
dataset\0001고핀\0001_00000073.jpg,30,97,69,158,1
dataset\0001고핀\0001_00000018.jpg,131,234,14,141,1
dataset\0001고핀\0001_00000099.jpg,112,202,46,178,1
dataset\0001고핀\0001_00000140.jpg,203,275,91,178,1
dataset\0001고핀\0001_00000084.jpg,16,83,64,152,1
dataset\0001고핀\0001_00000118.jpg,162,226,61,150,1
dataset\0001고핀\0001_00000057.jpg,36,111,60,160,1
dataset\0001고핀\0001_00000055.jpg,14,89,60,160,1
dataset\0001고핀\0001_00000078.jpg,25,92,69,158,1
dataset\0001고핀\0001_00000001.jpg,154,251,29,143,1
dataset\0001고핀\0001_00000125.jpg,158,229,80,167,1
dataset\0001고핀\0001_00000120.jpg,171,243,66,155,1
dataset\0001고핀\0001_00000020.jpg,123,226,8,135,1
dataset\0001고핀\0001_00000150.jpg,182,247,56,144,1
dataset\0001고핀\0001_00000148.jpg,155,220,57,145,1
dataset\0001고핀\0001_00000138.jpg,187,257,88,175,1
dataset\0001고핀\0001_00000045.jpg,42,127,44,158,1
dataset\0001고핀\0001_00000126.jpg,164,235,80,167,1
dataset\0001고핀\0001_00000070.jpg,24,91,72,167,1
dataset\0001고핀\0001_00000083.jpg,16,83,65,154,1
dataset\0001고핀\0001_00000012.jpg,147,245,48,168,1
dataset\0001고핀\0001_00000059.jpg,50,131,62,158,1
dataset\0001고핀\0001_00000098.jpg,107,196,48,179,1
dataset\0001고핀\0001_00000025.jpg,42,145,18,145,1
dataset\0001고핀\0001_00000063.jpg,29,104,72,167,1
dataset\0001고핀\0001_00000058.jpg,42,117,60,160,1
dataset\0001고핀\0001_00000149.jpg,172,238,53,141,1
dataset\0001고핀\0001_00000129.jpg,194,265,84,171,1
dataset\0001고핀\0001_00000086.jpg,40,107,44,132,1
dataset\0001고핀\0001_00000159.jpg,64,160,44,147,1
dataset\0001고핀\0001_00000009.jpg,115,212,38,159,1
dataset\0001고핀\0001_00000050.jpg,21,105,48,162,1
dataset\0001고핀\0001_00000156.jpg,135,204,108,192,1
dataset\0001고핀\0001_00000024.jpg,36,139,13,140,1
dataset\0001고핀\0001_00000096.jpg,92,182,41,160,1
dataset\0001고핀\0001_00000082.jpg,10,77,62,151,1
dataset\0001고핀\0001_00000162.jpg,207,274,68,154,1
dataset\0001고핀\0001_00000117.jpg,150,218,60,152,1
dataset\0001고핀\0001_00000095.jpg,99,184,41,155,1
dataset\0001고핀\0001_00000114.jpg,121,196,57,160,1
dataset\0001고핀\0001_00000071.jpg,28,95,72,167,1
dataset\0001고핀\0001_00000115.jpg,137,208,60,158,1
dataset\0001고핀\0001_00000152.jpg,120,207,73,176,1
dataset\0001고핀\0001_00000019.jpg,129,233,13,140,1
dataset\0001고핀\0001_00000105.jpg,132,225,50,175,1
dataset\0001고핀\0001_00000127.jpg,172,243,83,170,1
dataset\0001고핀\0001_00000155.jpg,190,259,120,192,1
dataset\0001고핀\0001_00000111.jpg,108,187,58,166,1
dataset\0001고핀\0001_00000154.jpg,202,271,83,163,1
dataset\0001고핀\0001_00000081.jpg,18,85,64,152,1
dataset\0001고핀\0001_00000113.jpg,107,182,58,162,1
dataset\0001고핀\0001_00000030.jpg,52,139,28,155,1
dataset\0001고핀\0001_00000032.jpg,65,150,33,152,1
dataset\0001고핀\0001_00000075.jpg,42,109,73,162,1
dataset\0001고핀\0001_00000142.jpg,207,270,84,168,1
dataset\0001고핀\0001_00000066.jpg,4,79,73,168,1
dataset\0001고핀\0001_00000085.jpg,29,96,52,140,1
dataset\0001고핀\0001_00000077.jpg,28,95,70,159,1
dataset\0001고핀\0001_00000004.jpg,178,275,32,152,1
dataset\0001고핀\0001_00000089.jpg,61,135,36,133,1
dataset\0001고핀\0001_00000034.jpg,77,166,38,155,1
dataset\0001고핀\0001_00000100.jpg,117,207,46,178,1
dataset\0001고핀\0001_00000039.jpg,68,158,49,166,1
dataset\0001고핀\0001_00000103.jpg,125,222,46,178,1
dataset\0001고핀\0001_00000101.jpg,127,223,46,178,1
dataset\0001고핀\0001_00000165.jpg,88,147,65,144,1
dataset\0001고핀\0001_00000110.jpg,116,199,56,170,1
dataset\0001고핀\0001_00000048.jpg,36,120,48,162,1
dataset\0001고핀\0001_00000061.jpg,52,127,66,162,1
dataset\0001고핀\0001_00000160.jpg,143,218,72,166,1
dataset\0001고핀\0001_00000036.jpg,88,174,48,159,1
dataset\0001고핀\0001_00000013.jpg,152,250,48,168,1
dataset\0001고핀\0001_00000106.jpg,139,231,52,176,1
dataset\0001고핀\0001_00000060.jpg,57,132,65,160,1
dataset\0001고핀\0001_00000157.jpg,93,163,111,195,1
dataset\0001고핀\0001_00000108.jpg,132,219,50,170,1
dataset\0001고핀\0001_00000136.jpg,176,238,85,172,1
dataset\0001고핀\0001_00000015.jpg,162,265,25,152,1
dataset\0001고핀\0001_00000090.jpg,69,147,38,141,1
dataset\0001고핀\0001_00000062.jpg,44,119,73,168,1
dataset\0001고핀\0001_00000038.jpg,73,159,54,166,1
dataset\0001고핀\0001_00000093.jpg,109,191,50,158,1
dataset\0001고핀\0001_00000079.jpg,26,93,65,154,1
dataset\0001고핀\0001_00000028.jpg,61,151,28,160,1
dataset\0001고핀\0001_00000158.jpg,147,211,99,182,1
dataset\0001고핀\0001_00000068.jpg,8,75,73,168,1
dataset\0001고핀\0001_00000000.jpg,150,247,26,140,1
dataset\0001고핀\0001_00000049.jpg,25,109,49,163,1
dataset\0001고핀\0001_00000135.jpg,186,247,87,174,1
dataset\0001고핀\0001_00000027.jpg,57,154,21,154,1
